,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
88,89,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
89,90,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
90,91,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
91,92,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
92,93,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
93,94,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
94,95,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
95,96,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
96,97,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
97,98,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
98,99,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
99,100,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
100,101,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
101,102,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
102,103,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
103,104,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
104,105,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
105,106,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
106,107,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
107,108,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
108,109,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
109,110,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
110,111,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
111,112,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
112,113,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
113,114,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
114,115,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
115,116,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
116,117,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
117,118,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
118,119,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
119,120,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
120,121,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
121,122,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
122,123,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
123,124,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
124,125,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
125,126,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
126,127,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
127,128,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
128,129,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
129,130,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
130,131,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
131,132,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
132,133,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
133,134,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
134,135,1221972,0,0,0,0,0,0,0,0.0,0,0,0,0,0
