,#time,susceptible,exposed,infectious,recovered,dead,immune,num infections today,num hospitalisations today,num hospitalisations today (data),hospital bed occupancy,cum dead,cum num hospitalisations today,cum infectious,cum num infections today
191,192,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
192,193,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
193,194,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
194,195,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
195,196,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
196,197,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
197,198,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
198,199,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
199,200,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
200,201,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
201,202,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
202,203,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
203,204,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
204,205,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
205,206,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
206,207,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
207,208,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
208,209,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
209,210,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
210,211,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
211,212,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
212,213,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
213,214,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
214,215,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
215,216,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
216,217,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
217,218,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
218,219,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
219,220,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
220,221,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
221,222,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
222,223,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
223,224,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
224,225,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
225,226,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
226,227,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
227,228,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
228,229,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
229,230,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
230,231,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
231,232,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
232,233,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
233,234,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
234,235,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
235,236,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
236,237,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
237,238,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
238,239,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
239,240,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
240,241,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
241,242,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
242,243,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
243,244,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
244,245,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
245,246,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
246,247,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
247,248,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
248,249,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
249,250,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
250,251,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
251,252,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
252,253,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
253,254,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
254,255,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
255,256,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
256,257,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
257,258,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
258,259,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
259,260,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
260,261,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
261,262,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
262,263,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
263,264,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
264,265,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
265,266,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
266,267,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
267,268,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
268,269,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
269,270,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
270,271,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
271,272,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
272,273,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
273,274,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
274,275,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
275,276,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
276,277,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
277,278,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
278,279,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
279,280,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
280,281,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
281,282,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
282,283,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
283,284,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
284,285,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
285,286,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
286,287,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
287,288,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
288,289,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
289,290,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
290,291,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
291,292,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
292,293,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
293,294,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
294,295,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
295,296,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
296,297,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
297,298,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
298,299,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
299,300,1195684,0,0,0,0,0,0,0,0.0,0,0,0,0,0
